Organization,Availability,Division,SystemType,SystemName,Platform,Model,MlperfModel,Scenario,Result,Accuracy,number_of_nodes,host_processor_model_name,host_processors_per_node,host_processor_core_count,accelerator_model_name,accelerators_per_node,Location,framework,operating_system,notes,compliance,errors,version,inferred,has_power,Units,weight_data_types
GigaComputing,available,closed,"datacenter","G894-SD1",G894-SD1_B200-SXM-180GBx8_TRT,deepseek-r1,deepseek-r1,Offline,30873.9,exact_match: 81.74567000911577  TOKENS_PER_SAMPLE: 3623.5193710118506,1,"Intel(R) Xeon(R) 6745P",2,32,"NVIDIA B200-SXM-180GB","8",closed/GigaComputing/results/G894-SD1_B200-SXM-180GBx8_TRT/deepseek-r1/Offline,"TensorRT 10.11, CUDA 12.9","Ubuntu 22.04.4","B200 TGP 1000W",1,0,v5.1,0,False,Tokens/s,"fp4"
GigaComputing,available,closed,"datacenter","G894-SD1",G894-SD1_B200-SXM-180GBx8_TRT,deepseek-r1,deepseek-r1,Server,15977.9,exact_match: 80.83409298085688  TOKENS_PER_SAMPLE: 3758.6991795806744,1,"Intel(R) Xeon(R) 6745P",2,32,"NVIDIA B200-SXM-180GB","8",closed/GigaComputing/results/G894-SD1_B200-SXM-180GBx8_TRT/deepseek-r1/Server,"TensorRT 10.11, CUDA 12.9","Ubuntu 22.04.4","B200 TGP 1000W",1,0,v5.1,0,False,Tokens/s,"fp4"
GigaComputing,available,closed,"datacenter","G894-SD1",G894-SD1_B200-SXM-180GBx8_TRT,llama2-70b-99,llama2-70b-99,Interactive,62851.2,ROUGE1: 44.772  ROUGE2: 22.3552  ROUGEL: 29.1381  TOKENS_PER_SAMPLE: 274.2,1,"Intel(R) Xeon(R) 6745P",2,32,"NVIDIA B200-SXM-180GB","8",closed/GigaComputing/results/G894-SD1_B200-SXM-180GBx8_TRT/llama2-70b-99/Interactive,"TensorRT 10.11, CUDA 12.9","Ubuntu 22.04.4","B200 TGP 1000W",1,0,v5.1,0,False,Tokens/s,"fp4"
GigaComputing,available,closed,"datacenter","G894-SD1",G894-SD1_B200-SXM-180GBx8_TRT,llama2-70b-99,llama2-70b-99,Offline,98607.7,ROUGE1: 44.7482  ROUGE2: 22.3577  ROUGEL: 29.1381  TOKENS_PER_SAMPLE: 273.3,1,"Intel(R) Xeon(R) 6745P",2,32,"NVIDIA B200-SXM-180GB","8",closed/GigaComputing/results/G894-SD1_B200-SXM-180GBx8_TRT/llama2-70b-99/Offline,"TensorRT 10.11, CUDA 12.9","Ubuntu 22.04.4","B200 TGP 1000W",1,0,v5.1,0,False,Tokens/s,"fp4"
GigaComputing,available,closed,"datacenter","G894-SD1",G894-SD1_B200-SXM-180GBx8_TRT,llama2-70b-99,llama2-70b-99,Server,99066.0,ROUGE1: 44.753  ROUGE2: 22.3601  ROUGEL: 29.1411  TOKENS_PER_SAMPLE: 274.4,1,"Intel(R) Xeon(R) 6745P",2,32,"NVIDIA B200-SXM-180GB","8",closed/GigaComputing/results/G894-SD1_B200-SXM-180GBx8_TRT/llama2-70b-99/Server,"TensorRT 10.11, CUDA 12.9","Ubuntu 22.04.4","B200 TGP 1000W",1,0,v5.1,0,False,Tokens/s,"fp4"
GigaComputing,available,closed,"datacenter","G894-SD1",G894-SD1_B200-SXM-180GBx8_TRT,llama2-70b-99.9,llama2-70b-99.9,Interactive,62851.2,ROUGE1: 44.772  ROUGE2: 22.3552  ROUGEL: 29.1381  TOKENS_PER_SAMPLE: 274.2,1,"Intel(R) Xeon(R) 6745P",2,32,"NVIDIA B200-SXM-180GB","8",closed/GigaComputing/results/G894-SD1_B200-SXM-180GBx8_TRT/llama2-70b-99.9/Interactive,"TensorRT 10.11, CUDA 12.9","Ubuntu 22.04.4","B200 TGP 1000W",1,0,v5.1,0,False,Tokens/s,"fp4"
GigaComputing,available,closed,"datacenter","G894-SD1",G894-SD1_B200-SXM-180GBx8_TRT,llama2-70b-99.9,llama2-70b-99.9,Offline,98607.7,ROUGE1: 44.7482  ROUGE2: 22.3577  ROUGEL: 29.1381  TOKENS_PER_SAMPLE: 273.3,1,"Intel(R) Xeon(R) 6745P",2,32,"NVIDIA B200-SXM-180GB","8",closed/GigaComputing/results/G894-SD1_B200-SXM-180GBx8_TRT/llama2-70b-99.9/Offline,"TensorRT 10.11, CUDA 12.9","Ubuntu 22.04.4","B200 TGP 1000W",1,0,v5.1,0,False,Tokens/s,"fp4"
GigaComputing,available,closed,"datacenter","G894-SD1",G894-SD1_B200-SXM-180GBx8_TRT,llama2-70b-99.9,llama2-70b-99.9,Server,99066.0,ROUGE1: 44.753  ROUGE2: 22.3601  ROUGEL: 29.1411  TOKENS_PER_SAMPLE: 274.4,1,"Intel(R) Xeon(R) 6745P",2,32,"NVIDIA B200-SXM-180GB","8",closed/GigaComputing/results/G894-SD1_B200-SXM-180GBx8_TRT/llama2-70b-99.9/Server,"TensorRT 10.11, CUDA 12.9","Ubuntu 22.04.4","B200 TGP 1000W",1,0,v5.1,0,False,Tokens/s,"fp4"
GigaComputing,available,closed,"datacenter","G894-SD1",G894-SD1_B200-SXM-180GBx8_TRT,llama3.1-405b,llama3.1-405b,Interactive,719.409,ROUGEL: 21.923400568278826  exact_match: 90.10112508272667  TOKENS_PER_SAMPLE: 653.1,1,"Intel(R) Xeon(R) 6745P",2,32,"NVIDIA B200-SXM-180GB","8",closed/GigaComputing/results/G894-SD1_B200-SXM-180GBx8_TRT/llama3.1-405b/Interactive,"TensorRT 10.11, CUDA 12.9","Ubuntu 22.04.4","B200 TGP 1000W",1,0,v5.1,0,False,Tokens/s,"fp4"
GigaComputing,available,closed,"datacenter","G894-SD1",G894-SD1_B200-SXM-180GBx8_TRT,llama3.1-405b,llama3.1-405b,Offline,1625.66,ROUGEL: 22.041015729494127  exact_match: 90.106793514229  TOKENS_PER_SAMPLE: 651.5,1,"Intel(R) Xeon(R) 6745P",2,32,"NVIDIA B200-SXM-180GB","8",closed/GigaComputing/results/G894-SD1_B200-SXM-180GBx8_TRT/llama3.1-405b/Offline,"TensorRT 10.11, CUDA 12.9","Ubuntu 22.04.4","B200 TGP 1000W",1,0,v5.1,0,False,Tokens/s,"fp4"
