Organization,Availability,Division,SystemType,SystemName,Platform,Model,MlperfModel,Scenario,Result,Accuracy,number_of_nodes,host_processor_model_name,host_processors_per_node,host_processor_core_count,accelerator_model_name,accelerators_per_node,Location,framework,operating_system,notes,compliance,errors,version,inferred,has_power,Units,weight_data_types
MangoBoost,available,closed,"datacenter","MangoBoost-fp8-Mi300x-4-node",8xMI300X_2xEPYC_9534,llama2-70b-99,llama2-70b-99,Server,24559.9,ROUGE1: 44.4712  ROUGE2: 22.0617  ROUGEL: 28.6191  TOKENS_PER_SAMPLE: 299.9,1,"AMD EPYC 9534 64-Core Processor",2,1,"AMD Instinct MI300X","8",closed/MangoBoost/results/8xMI300X_2xEPYC_9534/llama2-70b-99/Server,"N/A","Ubuntu 22.04.5 LTS (jammy)","",1,0,v5.0,0,False,Tokens/s,"fp8"
MangoBoost,available,closed,"datacenter","MangoBoost-fp8-Mi300x-4-node",8xMI300X_2xEPYC_9534,llama2-70b-99,llama2-70b-99,Offline,27854.4,ROUGE1: 44.4421  ROUGE2: 22.029  ROUGEL: 28.6003  TOKENS_PER_SAMPLE: 301.3,1,"AMD EPYC 9534 64-Core Processor",2,1,"AMD Instinct MI300X","8",closed/MangoBoost/results/8xMI300X_2xEPYC_9534/llama2-70b-99/Offline,"N/A","Ubuntu 22.04.5 LTS (jammy)","",1,0,v5.0,0,False,Tokens/s,"fp8"
MangoBoost,available,closed,"datacenter","MangoBoost-fp8-Mi300x-4-node",8xMI300X_2xEPYC_9534,llama2-70b-99.9,llama2-70b-99.9,Server,24559.9,ROUGE1: 44.4712  ROUGE2: 22.0617  ROUGEL: 28.6191  TOKENS_PER_SAMPLE: 299.9,1,"AMD EPYC 9534 64-Core Processor",2,1,"AMD Instinct MI300X","8",closed/MangoBoost/results/8xMI300X_2xEPYC_9534/llama2-70b-99.9/Server,"N/A","Ubuntu 22.04.5 LTS (jammy)","",1,0,v5.0,0,False,Tokens/s,"fp8"
MangoBoost,available,closed,"datacenter","MangoBoost-fp8-Mi300x-4-node",8xMI300X_2xEPYC_9534,llama2-70b-99.9,llama2-70b-99.9,Offline,27854.4,ROUGE1: 44.4421  ROUGE2: 22.029  ROUGEL: 28.6003  TOKENS_PER_SAMPLE: 301.3,1,"AMD EPYC 9534 64-Core Processor",2,1,"AMD Instinct MI300X","8",closed/MangoBoost/results/8xMI300X_2xEPYC_9534/llama2-70b-99.9/Offline,"N/A","Ubuntu 22.04.5 LTS (jammy)","",1,0,v5.0,0,False,Tokens/s,"fp8"
MangoBoost,available,closed,"datacenter","MangoBoost-fp8-Mi300x-4-node",8xMI325X_2xEPYC_9534,llama2-70b-99,llama2-70b-99,Server,29814.9,ROUGE1: 44.4271  ROUGE2: 22.0557  ROUGEL: 28.6048  TOKENS_PER_SAMPLE: 300.3,1,"AMD EPYC 9534 64-Core Processor",2,1,"AMD Instinct MI325X","8",closed/MangoBoost/results/8xMI325X_2xEPYC_9534/llama2-70b-99/Server,"N/A","Ubuntu 22.04.5 LTS (jammy)","",1,0,v5.0,0,False,Tokens/s,"fp8"
MangoBoost,available,closed,"datacenter","MangoBoost-fp8-Mi300x-4-node",8xMI325X_2xEPYC_9534,llama2-70b-99,llama2-70b-99,Offline,33055.3,ROUGE1: 44.4919  ROUGE2: 22.0799  ROUGEL: 28.6321  TOKENS_PER_SAMPLE: 299.1,1,"AMD EPYC 9534 64-Core Processor",2,1,"AMD Instinct MI325X","8",closed/MangoBoost/results/8xMI325X_2xEPYC_9534/llama2-70b-99/Offline,"N/A","Ubuntu 22.04.5 LTS (jammy)","",1,0,v5.0,0,False,Tokens/s,"fp8"
MangoBoost,available,closed,"datacenter","MangoBoost-fp8-Mi300x-4-node",8xMI325X_2xEPYC_9534,llama2-70b-99.9,llama2-70b-99.9,Server,29814.9,ROUGE1: 44.4271  ROUGE2: 22.0557  ROUGEL: 28.6048  TOKENS_PER_SAMPLE: 300.3,1,"AMD EPYC 9534 64-Core Processor",2,1,"AMD Instinct MI325X","8",closed/MangoBoost/results/8xMI325X_2xEPYC_9534/llama2-70b-99.9/Server,"N/A","Ubuntu 22.04.5 LTS (jammy)","",1,0,v5.0,0,False,Tokens/s,"fp8"
MangoBoost,available,closed,"datacenter","MangoBoost-fp8-Mi300x-4-node",8xMI325X_2xEPYC_9534,llama2-70b-99.9,llama2-70b-99.9,Offline,33055.3,ROUGE1: 44.4919  ROUGE2: 22.0799  ROUGEL: 28.6321  TOKENS_PER_SAMPLE: 299.1,1,"AMD EPYC 9534 64-Core Processor",2,1,"AMD Instinct MI325X","8",closed/MangoBoost/results/8xMI325X_2xEPYC_9534/llama2-70b-99.9/Offline,"N/A","Ubuntu 22.04.5 LTS (jammy)","",1,0,v5.0,0,False,Tokens/s,"fp8"
MangoBoost,available,closed,"datacenter","MangoBoost-fp8-Mi300x-4-node",32xMI300X_16xMI325X_2xEPYC_9534,llama2-70b-99,llama2-70b-99,Server,153076.0,ROUGE1: 44.4379  ROUGE2: 22.0365  ROUGEL: 28.6151  TOKENS_PER_SAMPLE: 300.7,6,"AMD EPYC 9534 64-Core Processor",2,1,"AMD Instinct MI300X / AMD Instinct MI325X","8",closed/MangoBoost/results/32xMI300X_16xMI325X_2xEPYC_9534/llama2-70b-99/Server,"N/A","Ubuntu 22.04.5 LTS (jammy)","",1,0,v5.0,0,False,Tokens/s,"fp8"
MangoBoost,available,closed,"datacenter","MangoBoost-fp8-Mi300x-4-node",32xMI300X_16xMI325X_2xEPYC_9534,llama2-70b-99,llama2-70b-99,Offline,163880.0,ROUGE1: 44.4439  ROUGE2: 22.0377  ROUGEL: 28.5979  TOKENS_PER_SAMPLE: 300.9,6,"AMD EPYC 9534 64-Core Processor",2,1,"AMD Instinct MI300X / AMD Instinct MI325X","8",closed/MangoBoost/results/32xMI300X_16xMI325X_2xEPYC_9534/llama2-70b-99/Offline,"N/A","Ubuntu 22.04.5 LTS (jammy)","",1,0,v5.0,0,False,Tokens/s,"fp8"
MangoBoost,available,closed,"datacenter","MangoBoost-fp8-Mi300x-4-node",32xMI300X_16xMI325X_2xEPYC_9534,llama2-70b-99.9,llama2-70b-99.9,Server,153076.0,ROUGE1: 44.4379  ROUGE2: 22.0365  ROUGEL: 28.6151  TOKENS_PER_SAMPLE: 300.7,6,"AMD EPYC 9534 64-Core Processor",2,1,"AMD Instinct MI300X / AMD Instinct MI325X","8",closed/MangoBoost/results/32xMI300X_16xMI325X_2xEPYC_9534/llama2-70b-99.9/Server,"N/A","Ubuntu 22.04.5 LTS (jammy)","",1,0,v5.0,0,False,Tokens/s,"fp8"
MangoBoost,available,closed,"datacenter","MangoBoost-fp8-Mi300x-4-node",32xMI300X_16xMI325X_2xEPYC_9534,llama2-70b-99.9,llama2-70b-99.9,Offline,163880.0,ROUGE1: 44.4439  ROUGE2: 22.0377  ROUGEL: 28.5979  TOKENS_PER_SAMPLE: 300.9,6,"AMD EPYC 9534 64-Core Processor",2,1,"AMD Instinct MI300X / AMD Instinct MI325X","8",closed/MangoBoost/results/32xMI300X_16xMI325X_2xEPYC_9534/llama2-70b-99.9/Offline,"N/A","Ubuntu 22.04.5 LTS (jammy)","",1,0,v5.0,0,False,Tokens/s,"fp8"
